Caminho do cliente;Última verificação;Estado dispositivo;Próximo estado do dispositivo;Fabricante;Modelo;Endereço IP;Número de série;Mac Address;Nome do dispositivo;Localização;Número do modelo;É cor;É duplex;Tecnologia do dispositivo;Tipologia do dispositivo;Data instalação;Localização;Firmware;Criado em;Modificado em;Está desligado;Nome do agente;Contador dispositivo;Total mono;Total cor;Total impressão;Total cópia;Total simples;Total duplex;Total <= A4;Total >= A3;Total impressão mono;Total impressão cor;Total cópia mono;Total cópia cor;Total fax;Total digitalização;Mono <= A4;Cor <= A4;Impressão <= A4;Cópia <= A4;Mono >= A3;Cor >= A3;Impressão >= A3;Cópia >= A3;Mono simples;Cor simples;Impressão simples;Cópia simples;Simples <= A4;Simples >= A3;Mono duplex;Cor duplex;Impressão duplex;Cópia duplex;Duplex <= A4;Duplex >= A3;Mono simples <= A4;Mono simples >= A3;Cor simples <= A4;Cor simples >= A3;Mono duplex <= A4;Mono duplex >= A3;Cor duplex <= A4;Cor duplex >= A3;Impressão mono <= A4;Impressão mono >= A3;Impressão cor <= A4;Impressão cor >= A3;Impressão mono simples;Impressão cor simples;Impressão simples <= A4;Impressão simples >= A3;Impressão mono duplex;Impressão cor duplex;Impressão duplex <= A4;Impressão duplex <= A4;Cópia mono <= A4;Cópia mono >= A3;Cópia cor <= A4;Cópia cor >= A3;Cópia mono simples;Cópia cor simples;Cópia simples <= A4;Cópia simples >= A3;Cópia mono duplex;Cópia cor duplex;Cópia duplex <= A4;Cópia duplex >= A3;Impressão <= A4 simples mono;Impressão <= A4 duplex mono;Impressão <= A4 simples cor;Impressão <= A4 duplex cor;Impressões >= A3 simples mono;Impressões >= A3 duplex mono;Impressões >= A3 simples cor;Impressões >= A3 duplex cor;Cópia <= A4 simples mono;Cópia <= A4 duplex mono;Cópia <= A4 simples cor;Cópia <= A4 duplex cor;Cópias >= A3 simples mono;Cópias >= A3 duplex mono;Cópias >= A3 simples cor;Cópias >= A3 duplex cor;Contador Canon 101;Contador Canon 102;Contador Canon 103;Contador Canon 104;Contador Canon 106;Contador Canon 108;Contador Canon 109;Contador Canon 112;Contador Canon 113;Contador Canon 122;Contador Canon 123;Contador Canon 124;Contador Canon 125;Contador Canon 405;Contador Canon 409;Contador Canon 501;Contador Canon 915;Contador Canon 916;Kyocera Nível 1;Kyocera Nível 2;Kyocera Nível 3;Revelador Preto Ricoh;Revelador Cor Ricoh;Contador Xerox nívek 1 de preto+cor;Contador Xerox nível 2 de cor;Contador Xerox nível 3 de cor;Nível do Toner Preto;Nível do Toner Ciano;Nível do Toner Magenta;Nível do Toner Amarelo;Kit Manutenção;Kit Transferência;Tambor Preto;Tambor Ciano;Tambor Magenta;Tambor Amarelo;Revelador Preto;Revelador Ciano;Revelador Magenta;Revelador Amarelo;Desperdício Preto;Desperdício Ciano;Desperdício Magenta;Desperdício Amarelo;Unidade Agrafos;Unidade Fusor;Tela de Transferência;Unidade da Tela de Transferência;Removedor de Pó de Papel;Filtro Ozono;Painel frontal;Alerta;HP Impressão Accent;HP Cópia Accent;HP Fax Accent;HP Impressão Escritório;HP Cópia Escritório;HP Impressão Profissional;HP Cópia Profissional;HP ciclo do motor;HP ciclo do motor de cor;HP ciclo do motor mono;Business Color;Graphics Color;Highlight Color;Ricoh Color Coverage 1;Ricoh Color Coverage 2;Ricoh Color Coverage 3;Contador Canon 114;Contador Canon 964;Contador Canon 965;Unidade Laser;Descrição do cartucho preto;Número de série do cartucho preto;Descrição do cartucho ciano;Número de série do cartucho ciano;Descrição do cartucho magenta;Número de série do cartucho magenta;Descrição do cartucho amarelo;Número de série do cartucho amarelo;Marianne;Conexão elétrica (h);Modo de suspensão (h);Modo de poupança de energia (h);Modo de funcionamento (h);Consumo de energia (kWh);Emissão de CO2 (kg);Total outro mono;Total outro cor;Contador Canon 502;Uso papel (m2);Uso papel (ft2);Uso total de tinta (ml);Cartucho preto usado;Cartucho ciano usado;Cartucho amarelo usado;Cartucho magenta usado;Marianne Impressão;Marianne Cópia
BIM->BIM;2019/09/26 11:39:01;Gerir;Gerir;Kyocera;ECOSYS P3045dn;10.164.100.72;VM48Y13583;00:17:C8:6D:37:94;KM6D3794;DCN -Mutauanha;;Não;Sim;Laser;Impressora;;DCN -Mutauanha;2T6_S000.002.028;2019/06/17 22:56:27;2019/09/26 13:24:16;Não;BIM;8263;8263;;;;8263;;8263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;;;;;;;;;;;;;;;;;;;;"Toner não genuíno. Pressione [Ajuda]. ";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIM->BIM;2020/02/28 07:26:57;Gerir;Gerir;Kyocera;ECOSYS P3045dn;10.164.109.7;VM48Y13858;00:17:C8:6D:3A:59;KM6D3A59;PRP -SEDE Prestige;;Não;Sim;Laser;Impressora;;PRP -SEDE Prestige;2T6_S000.002.302;2019/03/22 18:04:33;2020/02/28 06:39:18;Não;BIM;6653;6653;;;;5743;910;6653;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97;;;;;;;;;;;;;;;;;;;;;;;;"Pronta para imprimir.";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIM->BIM;2019/12/26 15:32:20;Gerir;Gerir;Kyocera;ECOSYS P3045dn;10.164.108.34;VM48Y15399;00:17:C8:6D:66:31;KM6D6631;;;Não;Sim;Laser;Impressora;;;2T6_S000.002.302;2019/10/02 19:56:40;2019/12/26 14:57:24;Não;BIM;48660;48660;;;;37034;11626;48660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;74;;;;;;;;;;;;;;;;;;;;;;;;"Em espera...  ";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIM->BIM;2020/03/05 11:45:40;Gerir;Gerir;Kyocera;ECOSYS P3045dn;10.164.112.186;VM49123087;00:17:C8:6E:BC:F1;KM6EBCF1;PRN -Julius Nyerere Empresas;;Não;Sim;Laser;Impressora;;PRN -Julius Nyerere Empresas;2T6_S000.002.302;2019/06/28 13:18:13;2020/03/05 11:06:38;Não;BIM;18458;18458;;;;17981;477;18458;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;"Em espera...  ";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIM->BIM;2020/03/05 11:46:14;Gerir;Gerir;Kyocera;ECOSYS P3045dn;10.164.106.119;VM48Y13945;00:17:C8:6D:3A:81;KM6D3A81;512-DCS2 -Maxixe;;Não;Sim;Laser;Impressora;;512-DCS2 -Maxixe;2T6_S000.002.028;2019/08/28 16:34:13;2020/03/05 11:07:59;Não;BIM;378;378;;;;378;;378;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94;;;;;;;;;;;;;;;;;;;;;;;;"Em espera...  ";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIM->BIM;2020/03/05 11:47:11;Gerir;Gerir;Ricoh;Aficio MP 201;10.165.168.20;W3018707125;00:26:73:27:28:1F;RNP27281F;DCS2 -Homoine;;Não;Sim;Laser;Multifunções;;DCS2 -Homoine;1.03;2017/09/20 15:01:23;2020/03/05 11:09:31;Não;BIM;248919;248919;;160487;87044;;34378;;;160487;;87044;;1388;83621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;"Modo de Poupan?a de Energia";"Modo de Poupan?a de Energia {10033} - Modo de painel desligado&gt;&gt;Impressão disponível{310033}";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIM->BIM;2020/03/05 11:53:22;Gerir;Gerir;Kyocera;ECOSYS P3045dn;10.164.97.53;VM48Z16227;00:17:C8:6D:92:13;KM6D9213;DCN -Pemba;;Não;Sim;Laser;Impressora;;DCN -Pemba;2T6_S000.002.028;2019/06/20 23:38:50;2020/03/05 11:19:25;Não;BIM;16709;16709;;;;14793;1916;16709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53;;;;;;;;;;;;;;;;;;;;;;;;"Em espera...  ";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIM->BIM;2020/03/05 11:48:42;Gerir;Gerir;Kyocera;ECOSYS P3045dn;10.164.98.37;VM48Z16228;00:17:C8:6D:94:0F;KM6D940F;PRP -Prestige Lichinga;;Não;Sim;Laser;Impressora;;PRP -Prestige Lichinga;2T6_S000.002.302;2019/05/29 14:54:09;2020/03/05 11:12:08;Não;BIM;7460;7460;;;;7428;32;7460;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;"Em espera...  ";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIM->BIM;2020/03/05 11:53:31;Gerir;Gerir;Kyocera;ECOSYS P3045dn;10.164.110.221;VM48Y14687;00:17:C8:6D:44:38;KM6D4438;MBIM SOMMERSCHIELD;;Não;Sim;Laser;Impressora;;MBIM SOMMERSCHIELD;2T6_S000.002.302;2019/05/09 17:02:56;2020/03/05 11:19:43;Não;BIM;31536;31536;;;;31536;;31536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;;;;;;;;;;;;;;;;;;;;;;;;"Em espera...  ";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIM->BIM;2020/03/05 11:45:37;Gerir;Gerir;Kyocera;ECOSYS P3045dn;10.164.107.124;VM48Y13950;00:17:C8:6D:3A:F8;KM6D3AF8;DCS1 -Manjacaze;;Não;Sim;Laser;Impressora;;DCS1 -Manjacaze;2T6_S000.002.028;2019/05/17 13:07:56;2020/03/05 11:06:28;Não;BIM;23237;23237;;;;23237;;23237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75;;;;;;;;;;;;;;;;;;;;;;;;"Em espera...  ";"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
